R_Angstrom,alpha_perp_au,alpha_parallel_au,alpha_iso_au,g_perp_au,g_parallel_au,g_iso_au,Delta_geom_iso_Eh,E0_Eh,Delta_geom_perp_Eh,Delta_geom_parallel_Eh
1.4747,151.99690807321522,183.1957561017184,162.3965240827163,631.1324185038237,813.6938070416288,691.986214683092,0.1173408665063427,-2086.6209640751904,0.12041602017017476,0.11257045003683187
1.5268,147.84799713791267,184.23875797818965,159.97825075133832,588.7022061823986,817.2723476292869,664.8922533313613,0.1203038913070402,-2086.639256754595,0.12557112542237073,0.11271564400326438
1.5789,144.62850924385546,184.0926303486867,157.7832162787992,554.1857097221717,809.8337023628842,639.4017072690759,0.1233834805921155,-2086.649389178097,0.13048740404760856,0.11366076134615802
1.631,142.4107796626433,182.83912287605136,155.88689406711265,528.8780113850974,794.9727651301341,617.576262633443,0.126208618675195,-2086.6544375914555,0.13463480859194607,0.11499709857740929
1.6636,141.53812581222758,181.69854977638045,154.92493380027852,517.7020743362291,782.5628051261094,605.9889845995225,0.1278281765325017,-2086.656081982848,0.1366984341270995,0.11609199196932178
1.6896,141.11386641325726,180.7341925699448,154.32064179881976,511.2035377736048,772.5990260707716,598.3353672059937,0.1289583152333451,-2086.6569335588715,0.13802121462992686,0.11696506627060464
1.7157,140.9100527875277,179.81884620136643,153.87965059214062,506.6779356398274,763.8495829700224,592.4018180832257,0.1298777669943969,-2086.657576893082,0.1390528804156313,0.11770566497018267
1.7417,140.89927988594448,179.04146021565893,153.6133399958493,503.9755474108504,756.1919645792179,588.0476864669729,0.1306129957918615,-2086.6581471595646,0.13978781372410587,0.11838360403319435
1.7678,141.05245635202357,178.4698868334544,153.5249331791672,502.5715103777247,752.1008916057172,585.7479707870556,0.1310503329383108,-2086.6587514117205,0.14033073248223998,0.11864757030963329
1.7939,141.3364374987698,178.15159143058028,153.60815547603997,502.5144164443564,750.2385161845249,585.0891163577459,0.131269024821612,-2086.6594567807497,0.14062923656879806,0.11872996892815019
1.8134,141.61305402795833,178.09670162528667,153.77426989373444,502.4128282775343,749.4139461772033,584.7465342440906,0.1314879703327531,-2086.660075818319,0.1409329599658738,0.118823984083674
1.8395,142.05203405658216,178.28897668437097,154.13101493251176,503.6426604597593,752.2517213069974,586.5123474088387,0.1313962234669478,-2086.661046685749,0.14102462441019928,0.11850353520933347
1.8655,142.53789005793902,178.78415720120856,154.6199791056955,505.3226258013658,756.0214017027806,588.8888844351708,0.1312811153278927,-2086.6621845844807,0.14103652080875592,0.1182401429367836
