region,R_Angstrom,dlnalpha_dR,dlng_dR,dlnDelta_dR,sum_g_Delta,closure
minimum,1.6896,-0.1287117401077969,-0.42128301546731284,0.2925712753595012,-0.1287117401078116,1.4710455076283324e-14
minimum,1.6900996666666666,-0.1279049714379198,-0.4193491730565233,0.2914442016185891,-0.12790497143793422,1.4432899320127035e-14
minimum,1.6905993333333333,-0.12709820276804235,-0.417415330645733,0.2903171278776764,-0.1270982027680566,1.426636586643326e-14
minimum,1.691099,-0.12629143409816523,-0.41548148823494346,0.28919005413676413,-0.12629143409817933,1.4099832412739488e-14
minimum,1.6915986666666667,-0.12548466542828776,-0.41354764582415304,0.28806298039585143,-0.1254846654283016,1.3850032232198828e-14
minimum,1.6920983333333333,-0.12467789675841066,-0.4116138034133635,0.28693590665493923,-0.12467789675842428,1.3614109839465982e-14
minimum,1.692598,-0.12387112808853319,-0.4096799610025731,0.28580883291402653,-0.12387112808854656,1.3364309658925322e-14
minimum,1.6930976666666666,-0.1230643594186561,-0.40774611859178356,0.28468175917311433,-0.12306435941866922,1.3128387266192476e-14
minimum,1.6935973333333334,-0.12225759074877864,-0.40581227618099314,0.28355468543220164,-0.1222575907487915,1.2864709297844001e-14
minimum,1.694097,-0.12145082207890152,-0.4038784337702036,0.28242761169128944,-0.12145082207891417,1.264266469291897e-14
minimum,1.6945966666666668,-0.12064405340902407,-0.4019445913594133,0.28130053795037674,-0.12064405340903656,1.2490009027033011e-14
minimum,1.6950963333333333,-0.11983728473914697,-0.40001074894862365,0.28017346420946454,-0.11983728473915911,1.214306433183765e-14
minimum,1.6955959999999999,-0.11903051606926986,-0.3980769065378341,0.2790463904685523,-0.11903051606928183,1.1976530878143876e-14
minimum,1.6960956666666667,-0.1182237473993924,-0.3961430641270438,0.2779193167276396,-0.11822374739940422,1.1823875212257917e-14
minimum,1.6965953333333332,-0.1174169787295153,-0.3942092217162543,0.27679224298672744,-0.11741697872952683,1.1532441668293814e-14
minimum,1.697095,-0.11661021005963783,-0.39227537930546386,0.27566516924581475,-0.11661021005964911,1.1282641487753153e-14
minimum,1.6975946666666666,-0.11580344138976073,-0.3903415368946743,0.2745380955049025,-0.11580344138977183,1.1102230246251565e-14
minimum,1.6980943333333334,-0.11499667271988327,-0.3884076944838839,0.2734110217639898,-0.11499667271989411,1.083855227790309e-14
minimum,1.698594,-0.11418990405000616,-0.38647385207309437,0.2722839480230776,-0.11418990405001678,1.061650767297806e-14
minimum,1.6990936666666667,-0.1133831353801287,-0.38454000966230395,0.2711568742821649,-0.11338313538013906,1.0352829704629585e-14
minimum,1.6995933333333333,-0.1125763667102516,-0.3826061672515144,0.2700298005412527,-0.11257636671026172,1.0116907311896739e-14
minimum,1.700093,-0.11176959804037413,-0.3806723248407241,0.26890272680034,-0.11176959804038411,9.978129433818594e-15
minimum,1.7005926666666666,-0.11096282937049703,-0.3787384824299346,0.2677756530594278,-0.11096282937050678,9.742207041085749e-15
minimum,1.7010923333333334,-0.11015606070061958,-0.37680464001914415,0.26664857931851504,-0.11015606070062911,9.534040223968532e-15
minimum,1.701592,-0.10934929203074246,-0.3748707976083546,0.2655215055776029,-0.10934929203075172,9.256484467812243e-15
minimum,1.7020916666666666,-0.10854252336086537,-0.3729369551975651,0.26439443183669065,-0.10854252336087444,9.076073226310655e-15
minimum,1.7025913333333333,-0.10773575469098791,-0.37100311278677467,0.26326735809577795,-0.10773575469099672,8.81239525796218e-15
minimum,1.703091,-0.1069289860211108,-0.36906927037598514,0.2621402843548658,-0.10692898602111933,8.534839501805891e-15
minimum,1.7035906666666667,-0.10612221735123334,-0.3671354279651947,0.2610132106139531,-0.10612221735124161,8.271161533457416e-15
minimum,1.7040903333333333,-0.10531544868135624,-0.3652015855544052,0.25988613687304085,-0.10531544868136433,8.090750291955828e-15
minimum,1.70459,-0.10450868001147877,-0.36326774314361476,0.25875906313212815,-0.10450868001148661,7.840950111415168e-15
minimum,1.7050896666666666,-0.10370191134160167,-0.36133390073282523,0.25763198939121595,-0.10370191134160928,7.605027718682322e-15
minimum,1.7055893333333334,-0.10289514267172421,-0.35940005832203487,0.25650491565030326,-0.10289514267173161,7.396860901565105e-15
minimum,1.706089,-0.1020883740018471,-0.35746621591124533,0.25537784190939106,-0.10208837400185428,7.174816296640074e-15
minimum,1.7065886666666668,-0.10128160533196964,-0.35553237350045497,0.25425076816847836,-0.10128160533197661,6.966649479522857e-15
minimum,1.7070883333333333,-0.10047483666209255,-0.35359853108966544,0.2531236944275661,-0.10047483666209933,6.786238238021269e-15
minimum,1.7075879999999999,-0.09966806799221543,-0.3516646886788759,0.25199662068665396,-0.09966806799222194,6.50868248186498e-15
minimum,1.7080876666666667,-0.09886129932233798,-0.3497308462680855,0.25086954694574126,-0.09886129932234422,6.2450045135165055e-15
minimum,1.7085873333333332,-0.09805453065246086,-0.34779700385729595,0.24974247320482904,-0.09805453065246691,6.050715484207103e-15
minimum,1.709087,-0.0972477619825834,-0.34586316144650553,0.24861539946391634,-0.09724776198258919,5.7870375158586285e-15
minimum,1.7095866666666666,-0.09644099331270631,-0.343929319035716,0.24748832572300414,-0.09644099331271186,5.551115123125783e-15
minimum,1.7100863333333334,-0.09563422464282885,-0.34199547662492563,0.2463612519820914,-0.09563422464283422,5.370703881624195e-15
minimum,1.710586,-0.09482745597295174,-0.34006163421413604,0.2452341782411792,-0.09482745597295683,5.093148125467906e-15
minimum,1.7110856666666667,-0.09402068730307428,-0.3381277918033457,0.24410710450026651,-0.09402068730307916,4.884981308350689e-15
minimum,1.7115853333333333,-0.09321391863319718,-0.33619394939255615,0.24298003075935432,-0.09321391863320183,4.649058915617843e-15
minimum,1.712085,-0.09240714996331971,-0.3342601069817658,0.24185295701844162,-0.09240714996332416,4.454769886308441e-15
minimum,1.7125846666666666,-0.09160038129344261,-0.33232626457097625,0.24072588327752942,-0.09160038129344683,4.218847493575595e-15
minimum,1.7130843333333332,-0.0907936126235655,-0.3303924221601867,0.23959880953661722,-0.0907936126235695,3.9968028886505635e-15
minimum,1.713584,-0.08998684395368804,-0.3284585797493963,0.2384717357957045,-0.0899868439536918,3.760880495917718e-15
minimum,1.7140836666666666,-0.08918007528381094,-0.32652473733860676,0.2373446620547923,-0.08918007528381447,3.524958103184872e-15
minimum,1.7145833333333333,-0.08837330661393349,-0.32459089492781634,0.2362175883138796,-0.08837330661393675,3.2612801348363973e-15
minimum,1.715083,-0.08756653794405637,-0.3226570525170268,0.23509051457296737,-0.08756653794405944,3.066991105526995e-15
minimum,1.7155826666666667,-0.08675976927417892,-0.32072321010623644,0.23396344083205467,-0.08675976927418177,2.858824288409778e-15
minimum,1.7160823333333333,-0.0859530006043018,-0.3187893676954469,0.23283636709114247,-0.08595300060430444,2.6367796834847468e-15
minimum,1.716582,-0.08514623193442435,-0.31685552528465655,0.23170929335022977,-0.08514623193442677,2.42861286636753e-15
minimum,1.7170816666666666,-0.08433946326454725,-0.31492168287386696,0.23058221960931757,-0.08433946326454939,2.1371793224034263e-15
minimum,1.7175813333333334,-0.08353269459466979,-0.3129878404630766,0.22945514586840488,-0.08353269459467172,1.9290125052862095e-15
minimum,1.718081,-0.08272592592479268,-0.31105399805228706,0.22832807212749268,-0.08272592592479439,1.7069679003611782e-15
minimum,1.7185806666666665,-0.08191915725491558,-0.30912015564149753,0.22720099838658048,-0.08191915725491705,1.4710455076283324e-15
minimum,1.7190803333333333,-0.08111238858503811,-0.3071863132307071,0.22607392464566778,-0.08111238858503933,1.2212453270876722e-15
minimum,1.7195799999999999,-0.08030561991516101,-0.3052524708199176,0.22494685090475555,-0.08030561991516202,1.0130785099704553e-15
minimum,1.7200796666666667,-0.07949885124528355,-0.30331862840912716,0.22381977716384285,-0.0794988512452843,7.494005416219807e-16
minimum,1.7205793333333332,-0.07869208257540644,-0.3013847859983376,0.22269270342293065,-0.07869208257540697,5.273559366969494e-16
minimum,1.721079,-0.07788531390552898,-0.29945094358754726,0.22156562968201793,-0.07788531390552933,3.469446951953614e-16
minimum,1.7215786666666666,-0.07707854523565189,-0.2975171011767577,0.22043855594110573,-0.077078545235652,1.1102230246251565e-16
minimum,1.7220783333333334,-0.07627177656577443,-0.29558325876596736,0.21931148220019303,-0.07627177656577433,-9.71445146547012e-17
minimum,1.722578,-0.07546500789589732,-0.29364941635517783,0.21818440845928083,-0.075465007895897,-3.191891195797325e-16
minimum,1.7230776666666667,-0.07465823922601986,-0.2917155739443874,0.21705733471836813,-0.07465823922601927,-5.828670879282072e-16
minimum,1.7235773333333333,-0.07385147055614275,-0.2897817315335979,0.21593026097745593,-0.07385147055614194,-8.049116928532385e-16
minimum,1.7240769999999999,-0.07304470188626565,-0.28784788912280834,0.21480318723654374,-0.0730447018862646,-1.0408340855860843e-15
minimum,1.7245766666666666,-0.07223793321638819,-0.2859140467120179,0.21367611349563104,-0.07223793321638688,-1.304512053934559e-15
minimum,1.7250763333333332,-0.07143116454651108,-0.2839802043012284,0.21254903975471884,-0.07143116454650955,-1.5265566588595902e-15
minimum,1.725576,-0.07062439587663362,-0.28204636189043797,0.2114219660138061,-0.07062439587663186,-1.762479051592436e-15
minimum,1.7260756666666666,-0.06981762720675652,-0.28011251947964844,0.2102948922728939,-0.06981762720675452,-1.9984014443252818e-15
minimum,1.7265753333333334,-0.06901085853687905,-0.27817867706885807,0.20916781853198121,-0.06901085853687686,-2.192690473634684e-15
minimum,1.727075,-0.06820408986700195,-0.27624483465806854,0.208040744791069,-0.06820408986699955,-2.400857290751901e-15
minimum,1.7275746666666667,-0.0673973211971245,-0.2743109922472782,0.2069136710501563,-0.06739732119712188,-2.609024107869118e-15
minimum,1.7280743333333333,-0.0665905525272474,-0.27237714983648864,0.2057865973092441,-0.06659055252724455,-2.8449465006019636e-15
minimum,1.728574,-0.06578378385736992,-0.2704433074256982,0.2046595235683314,-0.06578378385736683,-3.094746681142624e-15
minimum,1.7290736666666666,-0.06497701518749283,-0.2685094650149087,0.2035324498274192,-0.0649770151874895,-3.3306690738754696e-15
minimum,1.7295733333333334,-0.06417024651761537,-0.26657562260411827,0.2024053760865065,-0.06417024651761177,-3.594347042223944e-15
minimum,1.730073,-0.06336347784773826,-0.26464178019332874,0.2012783023455943,-0.06336347784773444,-3.816391647148976e-15
minimum,1.7305726666666665,-0.06255670917786116,-0.2627079377825392,0.2001512286046821,-0.0625567091778571,-4.052314039881821e-15
minimum,1.7310723333333333,-0.06174994050798369,-0.2607740953717488,0.19902415486376937,-0.06174994050797941,-4.28129753871076e-15
minimum,1.731572,-0.06094317183810659,-0.25884025296095925,0.19789708112285717,-0.06094317183810208,-4.5102810375396984e-15
minimum,1.7320716666666667,-0.06013640316822913,-0.2569064105501689,0.19677000738194447,-0.06013640316822441,-4.718447854656915e-15
minimum,1.7325713333333332,-0.059329634498352025,-0.25497256813937935,0.19564293364103227,-0.05932963449834708,-4.947431353485854e-15
minimum,1.733071,-0.05852286582847456,-0.253038725728589,0.19451585990011955,-0.05852286582846944,-5.1209037010835345e-15
minimum,1.7335706666666666,-0.057716097158597456,-0.25110488331779945,0.19338878615920735,-0.057716097158592106,-5.349887199912473e-15
minimum,1.7340703333333334,-0.05690932848872,-0.24917104090700903,0.19226171241829465,-0.056909328488714384,-5.613565168260948e-15
minimum,1.73457,-0.05610255981884289,-0.2472371984962195,0.19113463867738245,-0.05610255981883705,-5.842548667089886e-15
minimum,1.7350696666666667,-0.055295791148965434,-0.24530335608542908,0.19000756493646975,-0.05529579114895933,-6.106226635438361e-15
minimum,1.7355693333333333,-0.05448902247908833,-0.24336951367463955,0.18888049119555755,-0.054489022479081994,-6.3352101342672995e-15
minimum,1.7360689999999999,-0.053682253809211225,-0.24143567126385002,0.18775341745464535,-0.05368225380920466,-6.564193633096238e-15
minimum,1.7365686666666666,-0.05287548513933376,-0.23950182885305965,0.18662634371373266,-0.052875485139326994,-6.765421556309548e-15
