point,O_O_A,field_step_h_au,pm_overlap_amplitude,pm_overlap_amplitude_raw,pm_Fubini_Study_angle_rad,g_FxFx_FS_au,g_FxFx_chord_au,FS_vs_chord_relative_difference,g_FxFx_zero_to_minus_chord_au,g_FxFx_zero_to_plus_chord_au,one_sided_metric_relative_asymmetry,active_sigma_min_pm,coreactive_sigma_min_pm,max_overlap_excess_above_one,alpha_xx_energy_au,alpha_xx_dipole_au,alpha_energy_dipole_relative_difference,Delta_geom_x_Eh,Delta_geom_x_eV
001,1.3000006852415178,0.00025,0.999984551800874,0.999984551800874,0.005558460020664421,123.58591120529886,123.58559300817973,2.5747038317303666e-06,123.56195277973825,123.61196648669193,0.0004046024699320851,0.9999805225423193,0.9999988549847861,0.0,130.6896738242358,130.6812215320292,6.467452216578224e-05,0.5287401798055131,14.387753256460961
002,1.350000498106909,0.00025,0.9999854321356256,0.9999854321356256,0.0053977587469159,116.54319795962842,116.54291499496594,2.4279809326384224e-06,116.5386199808438,116.54941163996568,9.25929952801035e-05,0.9999880836087515,0.9999989195907544,0.0,128.17831884603947,128.1721195611567,4.83645357387998e-05,0.5499176317885217,14.964021082076473
003,1.40000003224431,0.00025,0.9999860412426045,0.9999860412426045,0.005283708900028715,111.67031896097063,111.6700591641262,2.326462813478696e-06,111.66572341636538,111.67738778183889,0.00010444697628756683,0.9999936103925464,0.9999989698857826,0.0,126.36384053621441,126.36094515343643,2.2913064098815166e-05,0.5657897358580092,15.395923036447813
004,1.4500000882878983,0.00025,0.9999864848033152,0.9999864848033152,0.0051990820590431825,108.12181702665879,108.12157347839246,2.252535825085498e-06,108.12615940736237,108.11883988637305,6.769426593371158e-05,0.9999963458133031,0.9999989931337908,0.0,124.98273281380534,124.98066817030917,1.6519429921930998e-05,0.5779718481006904,15.727415197975391
005,1.4999991862832578,0.00025,0.9999868233595516,0.9999868233595516,0.005133550308671524,105.41335508664599,105.41312358736121,2.196109635157449e-06,105.41389684348701,105.41397193009061,7.123021951136155e-07,0.9999975049343423,0.9999989880477632,0.0,123.88269533403218,123.87822292316741,3.6101982223627105e-05,0.5876043658424734,15.989529358768381
006,1.5499999980902053,0.00025,0.9999870910260487,0.9999870910260487,0.005081141943508207,103.27201380031345,103.2717916107373,2.1514984357622293e-06,103.29686912058378,103.25106697450792,0.00044340304276202307,0.9999979345130638,0.999998987999906,0.0,122.97260400373489,122.96631942183467,5.110554461404161e-05,0.5953820375843278,16.20117058863049
007,1.5999997619717066,0.00025,0.9999873104592649,0.9999873104592649,0.005037770850798229,101.51654058060926,101.51632588062398,2.1149261396260953e-06,101.53385508715473,101.50171121736662,0.0003165827768533285,0.9999980526678663,0.9999989945431127,0.0,122.1986603923142,122.19360835482007,4.1342822236388925e-05,0.6018657634185351,16.377601756618194
008,1.650000498552372,0.00025,0.9999874889708676,0.9999874889708676,0.005002210555361443,100.08844176067774,100.08823305884818,2.0851741309254766e-06,100.1027970062296,100.07554473645541,0.0002722428402523522,0.9999980359638878,0.9999990077575163,0.0,121.54146679677069,121.5374096751134,3.3380555329984704e-05,0.6071703418432143,16.521946689004274
009,1.7000000691400912,0.00025,0.999987614623378,0.999987614623378,0.004977027664842328,99.08321750642351,99.0830129756759,2.0642319936395967e-06,99.09681322994857,99.0739121213835,0.0002310983352403544,0.9999979565253752,0.9999990267836998,0.0,121.07373913750052,121.06767828447573,5.0059187631999235e-05,0.610969961334024,16.62533960255648
010,1.7500006171079572,0.00025,0.999987665267265,0.999987665267265,0.004966841671057215,98.6780647414017,98.67786187989225,2.0557913248692355e-06,98.6822743342941,98.67494524939957,7.426951743844438e-05,0.9999978438623706,0.9999990489273014,0.0,120.87421782780439,120.8715004673877,2.2480893490066047e-05,0.6124675131427156,16.666090063246166
011,1.8000000055827297,0.00025,0.9999876039819278,0.9999876039819278,0.004979165328151162,99.1683494602507,99.16814457788803,2.066005573166296e-06,99.16736366477608,99.1704645159075,3.126788955318273e-05,0.9999977112550623,0.9999990705449571,0.0,121.08945520594716,121.08646334024797,2.470789627468573e-05,0.6105247080596164,16.613223643729285
012,1.849999334938016,0.00025,0.9999873960070232,0.9999873960070232,0.005020760789684855,100.83215562894756,100.83194381405036,2.100668143783915e-06,100.83172633557069,100.83419825335227,2.4514676810004477e-05,0.9999975570870648,0.9999990894108772,0.0,121.8133547808975,121.80995376948545,2.791985671989141e-05,0.6040402192191482,16.436771713283505
013,1.899999204500111,0.00025,0.9999870169614675,0.9999870169614675,0.0050956975235563464,103.86453300631312,103.86430825981563,2.1638425648205176e-06,103.87575637693658,103.85473802543288,0.00020234126072140427,0.9999973776199991,0.9999991048506987,0.0,123.08076838962734,123.07553292063744,4.2536856556836534e-05,0.5925062426369654,16.12291622155355
014,1.9499998811119668,0.00025,0.9999864661264626,0.9999864661264626,0.005202673171582357,108.2712325212113,108.27098829935267,2.255648642300816e-06,108.27282970637953,108.2730105466112,1.6702244702104402e-06,0.9999971624311298,0.999999117124399,0.0,124.81665180530399,124.80829820088957,6.692700287662193e-05,0.5764072731916637,15.684840945815086
015,2.00000052475993,0.00025,0.9999857738877772,0.9999857738877772,0.005334068982174642,113.80916762639048,113.80889778234149,2.3710220768189126e-06,113.81108507535487,113.81271330535014,1.430622245959408e-05,0.9999969155876064,0.9999991266943633,0.0,126.83417298831046,126.82844512843872,4.5160225645719274e-05,0.5572230059913895,15.162810441182184
016,2.0500002949085117,0.00025,0.9999850337147241,0.9999850337147241,0.005471073497519193,119.7305808610276,119.73028220690907,2.4943846124371654e-06,119.73446256163811,119.73297637979385,1.2412314821155106e-05,0.9999966466441388,0.9999991337677588,0.0,128.8599887629971,128.85194760696095,6.240227174730054e-05,0.538124795838776,14.64312166811237
017,2.1000001070137237,0.00025,0.999984302468596,0.999984302468596,0.00560313706291006,125.5805797830255,125.58025123166061,2.6162593408574156e-06,125.5837698472817,125.58309902033216,5.341669153271637e-06,0.99999637724068,0.9999991392102034,0.0,130.75863535050303,130.75056675330643,6.170603704275087e-05,0.5206164662419301,14.166695748930533
018,2.1500001328283678,0.00025,0.9999836301531627,0.9999836301531627,0.005721868837968749,130.95913199567136,130.95877469826434,2.7283122725092665e-06,130.9574543775227,130.96558283720583,6.206561683633293e-05,0.9999961119165851,0.9999991428093696,0.0,132.40500993561,132.3968683066994,6.149033873088856e-05,0.5055203402691553,13.755909234267264
019,2.1999996512379325,0.00025,0.999983045683669,0.999983045683669,0.005823120166943468,135.63491391465487,135.63453064779907,2.8257241793016742e-06,135.6362526685473,135.63792235160577,1.2309854276242679e-05,0.9999958778125537,0.9999991452465444,0.0,133.79973825067282,133.78987101918938,7.374626895722381e-05,0.49323486994972104,13.421604556191518
020,2.250000122232603,0.00025,0.9999825535406758,0.9999825535406758,0.00590703141252553,139.57208043425345,139.57167459377473,2.9077482936233776e-06,139.5729222792852,139.57549285947835,1.8417131406720686e-05,0.9999956686507966,0.9999991457466414,0.0,134.9218946415931,134.91589433340323,4.4472457237631855e-05,0.4833412750666461,13.152386124466835
021,2.299999574389985,0.00025,0.9999821675084176,0.9999821675084176,0.00597202554955341,142.66035665807485,142.65993265905053,2.9720872304903613e-06,142.6624127347509,142.6627018865645,2.026821375034713e-06,0.9999955068755035,0.9999991453162508,0.0,135.78547805082053,135.77817213572985,5.380483388620182e-05,0.4759047335633267,12.95002752128569
022,2.3500005858514528,0.00025,0.999981850452101,0.999981850452101,0.006024882206368407,145.1968224024586,145.19638319221428,3.0249301399430253e-06,145.19874666518717,145.19918314448432,3.0060726768396594e-06,0.9999953703498607,0.9999991443112072,0.0,136.4782510790974,136.46881485180984,6.914088664634618e-05,0.46997671443802347,12.788717903193461
023,2.4000003310614177,0.00025,0.9999816268995878,0.9999816268995878,0.006061873748977838,146.98525339418651,146.98480329755625,3.0621890282626087e-06,146.98821259173656,146.98645457400517,1.1960263346240018e-05,0.9999952789585683,0.9999991421969318,0.0,136.94952940568328,136.94129536236233,6.012465582530204e-05,0.46586145971531806,12.676736117433299
024,2.4500001705221033,0.00025,0.9999814875405715,0.9999814875405715,0.00608481989007546,148.10013237863177,148.09967542817049,3.0854156167554344e-06,148.10316545421642,148.10206669224613,7.41889592249809e-06,0.9999952309761461,0.9999991392889,0.0,137.22262519877404,137.21302665652502,6.994868546727647e-05,0.4632765109485238,12.606396078113969
025,2.4999999807938864,0.00025,0.9999814268136329,0.9999814268136329,0.006094791852273579,148.58595089016163,148.58549093688111,3.095536810553749e-06,148.58843494636176,148.58804235018397,2.642171834781419e-06,0.9999952253540259,0.9999991358408086,0.0,137.30901991948485,137.30120434107107,5.691962857477487e-05,0.4620524992332116,12.573089022558996
