R_mid_Angstrom,dlnalpha_dR,dlng_dR,dlnDelta_dR,closure
0.55,1.836961641944808,2.6325141172739146,-0.7955524753291073,7.771561172376096e-16
0.6499999999999999,1.7042315099562537,2.4532161674696766,-0.748984657513423,1.1102230246251565e-16
0.72,1.60872898048635,2.3249406839577857,-0.7162117034714304,-5.329070518200751e-15
0.77,1.5392857191312361,2.2316169054961383,-0.6923311863649041,1.887379141862766e-15
0.9,1.3565522799071208,1.9881516734650166,-0.6315993935578957,-1.1102230246251565e-16
1.125,1.0330896429907668,1.5557915758177057,-0.522701932826938,-8.881784197001252e-16
1.375,0.6474968007181054,1.026584344468656,-0.37908754375055187,1.3322676295501878e-15
1.525,0.40720586638861317,0.6850182441679559,-0.2778123777793382,-4.496403249731884e-15
1.5750000000000002,0.3281095186647584,0.5693995856663298,-0.2412900670015803,8.93729534823251e-15
1.625,0.2508094006142967,0.45486758737149185,-0.2040581867571863,-8.881784197001252e-15
1.6749999999999998,0.17612669713686896,0.3426165711460791,-0.1664898740092101,-2.7755575615628914e-17
1.725,0.10491442447717593,0.2339017951280107,-0.12898737065083477,0.0
1.775,0.03801884338618496,0.1300238113921014,-0.09200496800592531,8.881784197001252e-15
1.8250000000000002,-0.023763384225370367,0.03224811937243996,-0.056011503597805885,-4.440892098500626e-15
1.875,-0.07972960284814895,-0.0582509981180037,-0.021478604730145255,6.938893903907228e-18
1.9249999999999998,-0.12931294965222928,-0.14042104372069975,0.011108094068466013,4.451300439356487e-15
1.975,-0.17211466302217798,-0.21353305944199244,0.04141839641982333,-8.874845303097345e-15
2.025,-0.20792818748344896,-0.27692418968284216,0.06899600219938432,8.881784197001252e-15
2.075,-0.2367454634104403,-0.330325047656304,0.09357958424586815,-4.468647674116255e-15
2.1500000000000004,-0.2665299319519663,-0.3904804915205725,0.12395055956860845,-2.220446049250313e-15
2.25,-0.28604469406122146,-0.43932723762302994,0.15328254356180848,0.0
2.3499999999999996,-0.28560204142593165,-0.45536667506038203,0.1697646336344459,4.468647674116255e-15
2.45,-0.2707328717868982,-0.44534786491773076,0.17461499313083478,-2.220446049250313e-15
2.55,-0.24677891383074058,-0.4173099705533408,0.17053105672260024,-2.7755575615628914e-17
2.6500000000000004,-0.21822090870339464,-0.3782110938663227,0.15999018516292915,-1.1102230246251565e-15
2.75,-0.18842279846303778,-0.3338160734310958,0.14539327496805585,2.192690473634684e-15
2.8499999999999996,-0.15965058080147795,-0.2884818136890918,0.1288312328876139,-2.7755575615628914e-17
2.95,-0.13325032140773618,-0.24509786591321947,0.11184754450548663,-3.344546861683284e-15
